customer_id,age,gender,country,signup_date,last_login_days,total_orders,avg_order_value,support_tickets,payment_issues,loyalty_points,email_open_rate,sms_click_rate,promotion_usage,last_purchase_date,days_since_last_purchase,churn
1,56,M,Guatemala,2019-05-21 05:51:02,4,5,5.0,0,0,3630,0.229,0.034,0.287,2020-02-16 05:51:02,2102,0
2,69,F,México,2020-11-27 17:47:52,31,9,41.94,0,0,736,0.147,0.114,0.546,2024-11-10 17:47:52,373,1
3,46,F,Chile,2020-01-11 06:44:03,26,5,51.84,0,1,1475,0.226,0.447,0.069,2023-05-05 06:44:03,928,1
4,32,F,México,2019-03-02 07:39:22,0,1,64.28,0,0,4175,0.085,0.101,0.47,2019-07-21 07:39:22,2312,1
5,60,M,México,2023-10-14 07:59:02,10,4,10.37,2,0,303,0.388,0.319,0.453,2025-08-20 07:59:02,90,0
6,25,F,Perú,2022-04-23 04:29:06,30,6,28.99,0,0,3303,0.437,0.19,0.266,2026-01-12 04:29:06,0,0
7,38,F,Guatemala,2021-12-11 18:21:05,50,8,43.54,2,0,3634,0.23,0.301,0.506,2023-10-01 18:21:05,779,0
8,56,F,México,2023-04-16 12:07:06,11,2,97.91,0,1,4816,0.295,0.305,0.762,2024-03-06 12:07:06,622,0
9,36,M,Colombia,2023-09-11 19:09:08,31,7,82.4,0,0,3081,0.243,0.073,0.757,2025-12-20 19:09:08,0,0
10,40,M,Chile,2021-12-26 17:10:57,9,5,35.83,0,0,2998,0.111,0.269,0.691,2022-02-12 17:10:57,1375,0
11,28,F,Perú,2022-11-15 05:43:40,35,5,69.44,1,0,1350,0.095,0.144,0.758,2025-03-21 05:43:40,242,1
12,28,F,Perú,2022-07-03 06:53:32,35,6,23.06,2,0,2186,0.214,0.039,0.616,2024-08-06 06:53:32,469,0
13,41,F,Chile,2022-10-24 21:02:32,4,6,13.83,0,0,4385,0.547,0.156,0.565,2025-05-15 21:02:32,186,1
14,53,M,Guatemala,2020-08-24 07:37:58,32,9,32.97,2,0,9,0.198,0.359,0.567,2020-10-01 07:37:58,1874,0
15,57,M,Guatemala,2023-08-31 14:01:58,12,8,49.09,1,0,2416,0.517,0.345,0.329,2028-03-09 14:01:58,0,0
16,41,M,México,2020-04-18 13:22:00,5,8,51.56,0,0,1312,0.392,0.413,0.383,2021-01-25 13:22:00,1758,0
17,20,F,Guatemala,2022-11-02 08:21:51,20,6,88.39,0,0,2296,0.193,0.365,0.498,2026-07-25 08:21:51,0,0
